epoch,num_virtual_workers,local_steps,seed,train_loss,test_loss,test_acc,epoch_time_sec,samples_seen,batches_seen,averaging_rounds
0,1,1,42,1.9763350717875423,1.92170376663208,0.3413,44.033926486968994,50000,98,98
1,1,1,42,1.41347059789969,1.3864935440063477,0.5007,27.84430193901062,100000,196,196
2,1,1,42,1.2051916134600738,1.3476200876235962,0.5455,27.992344856262207,150000,294,294
3,1,1,42,1.0331237078929434,1.1232692432403564,0.5938,27.98215651512146,200000,392,392
4,1,1,42,0.8796220403544757,1.0524227630615235,0.6332,27.979546070098877,250000,490,490
5,1,1,42,0.7366791051261279,1.8825882484436036,0.5014,28.090779304504395,300000,588,588
6,1,1,42,0.6072885944527022,1.1799743041992188,0.6295,28.59957218170166,350000,686,686
7,1,1,42,0.4922275826030848,2.4862284973144533,0.48,27.97491455078125,400000,784,784
8,1,1,42,0.336443903646907,1.5229555242538453,0.5749,28.03901696205139,450000,882,882
9,1,1,42,0.2197214637179764,1.449606679534912,0.6245,27.973714113235474,500000,980,980
